question,answer
1枚のSIMカードを複数の携帯電話で使うことは可能ですか？,ベアーモバイルLiteが対応している携帯電話であれば、SIMカードを交換して利用することが可能です。
PINコードを忘れてしまった場合、どうすればいいですか？,初期設定の「PINコード」は「7777」です。もし初期設定から変更していた場合、確認方法はありません。忘れてしまった場合は、PINコードを再設定してください。
PINロックの解除方法を教えてください。,ロック画面で「PUKコード（PINロック解除コード）」を入力することで解除できます。「PUKコード（PINロック解除コード）」はマイページで確認できます。
PUKコード（PINロック解除コード）の確認方法を教えてください。,PUKコード（PINロック解除コード）はPINロックがかかった際に使用する8桁の解除番号で、マイページで確認できます。
SIMの配送状況の確認方法を教えてください。,商品は白猫急便でお届けします。白猫急便のホームページから配送状況を確認できます。
SIMカードとeSIMの申し込みを間違えてしまった場合、どうすればよいですか？,申し込みをキャンセルしてから、再度正しい申し込みを行ってください。契約が完了する前のキャンセルは、当社のウェブサイトから行えます。契約が完了した後のキャンセルは、「ベアーモバイルLite申込事務局」で対応します。
SIMカードのサイズ（標準/micro/nano）を変更するにはどうすればいいですか？,一度切り取ったSIMカードは、小さいサイズから大きいサイズへの変更はできません。その場合、SIMカードの再発行（無料）が必要です。大きいサイズから小さいサイズへの変更は、お客様自身で切り取って使用できます。
SIMカードの交換やeSIMの再発行は可能ですか？,SIMカードの交換やeSIMの再発行は、一部条件により異なる手続きが必要となります。
SIMフリー、SIMロック解除とは何を指すのですか？,SIMフリーの携帯電話機には2種類あり、1つは携帯電話会社から購入しSIMロックを解除したもの、もう1つは初めからSIMフリー状態で販売されているものです。SIMロックとは、特定の携帯電話会社のみで利用可能な状態を指します。
SIMロックを解除していなかった場合、アプリケーションを途中で閉じるとどうなりますか？［ベアーモバイルLite SIMカンタン設定アプリ］,アプリケーションを途中で閉じても問題はありません。SIMロックを解除した後、再度アプリケーションを起動してください。最後に操作した画面から再開できます。
SIMロック解除の手続き方法を教えてください。,SIMロック解除は携帯電話を購入した元の会社で行う手続きです。詳細は購入元の会社にお問い合わせください。
SIMロック解除（SIMフリー）のスマートフォンを持っています。ベアーモバイルLiteに加入できますか？,はい、SIMロックが解除され、動作確認が済んでいる携帯電話であれば、ベアーモバイルLiteに加入することができます。
SMS・MMS・Eメールは利用できますか？,SMSはご利用いただけます。
eSIMの設定がうまくいかない場合、どうすればいいですか？,よくある質問のページなどで対処法をご確認いただけます。
eSIMの開通が完了したら、アプリケーションを削除しても問題ないですか？,アプリケーションの削除は問題ありません。再度利用したい場合は、Google Play™またはApp Storeから再インストールできます。
eSIMを再発行した後、アプリが使えなくなったのですが、どうすればいいですか？［ベアーモバイルLite eSIMカンタン設定アプリ］,前回の使用履歴が残っている可能性があります。アプリを一度削除し、再度ダウンロードしてみてください。
eSIMを再発行した後、アプリで受注番号を入力できなくなったのですが、どうすればいいですか？［ベアーモバイルLite eSIMカンタン設定アプリ］,前回の使用履歴が残っている可能性があります。アプリを一度削除し、再度ダウンロードしてみてください。
eSIM対応の端末なのに「eSIMに対応していません」と表示されます。どうすればよいですか？,お使いの端末が日本国内でのみeSIM非対応である可能性があります。対応端末の詳細については、当社ウェブサイトをご覧ください。
iPhone/iPad やスマートフォンで通信する設定方法を教えてください。,ベアーモバイルLiteを使用するためには、Wi-Fi接続状態で、iPhone/iPad の場合は iOS のバージョンを 13.5 以上に更新し、キャリア設定の更新を行ってください。Androidの場合は、設定画面で指定の値を入力する必要があります。
iPhoneでも利用可能ですか？,SIMフリーまたはSIMロック解除済みのiPhoneであれば利用可能です。ただし、iPhone 6/6 Plus以前のモデルはSIMロック解除ができないため、利用できません。
iPhoneやiPadでインターネットが利用できない場合の対処方法を教えてください。,設定の変更や再起動、SIMカードの再挿入などで改善することがあります。
iPhoneやiPadで通信するための設定方法を教えてください。,ベアーモバイルLiteをiPhoneやiPadで利用するためには、Wi-Fiなどに接続した状態で、iOSのバージョンを14.5以上にアップデートし、キャリア設定のアップデートを行ってください。
「PINコード」とは何ですか？,「PINコード」は、「Personal Identification Number」の略で、SIMカード（電話番号や顧客情報などのデータを保有するICカード）用の暗証番号のことを指します。
「SIMが無効です」または「ベアーモバイルLiteを有効にできませんでした」と表示されます。どうすればよいですか？,ご利用の端末がSIMロックされている可能性があります。SIMロックを解除した後、再度ベアーモバイルLiteの初期設定を行ってください。
「よくわからない」をタップすると、どのようにSIMロック解除ができますか？［ベアーモバイルLite eSIMカンタン設定アプリ］,SIMロック解除のガイドページが表示されます。そのページに従ってSIMロックを解除し、「SIMロックを解除しました」にチェックを入れて次のページに進んでください。
「オートチャージ（快適モード）」のデータ容量追加回数の上限設定方法を教えてください。,マイページにログイン後、「オートチャージ設定」の「1ヵ月の上限回数」から設定できます。
「クレジットカードについてのお知らせとお支払いのお願い（書面/SMS）」が届きましたが、何故ですか？,お客様のクレジットカード会社から、指定のカードでのお支払いが承認されない旨の連絡を受けたため、SMSや払込用紙を送付しています。お支払期日までに、BearPay請求書払い、マイページ、近くのコンビニエンスストアまたは金融機関窓口でお支払いをお願いします。
「ベアーモバイル ID」とは何ですか？,「ベアーモバイル ID」はマイページを利用するための英数字のIDです。ベアーモバイルLiteを解約後は「ベアーモバイル ID（英数字のID）」でのみログインできます。
「ベアーモバイル ID」とログイン時に使用する「携帯電話番号」の違いは何ですか？,「ベアーモバイル ID」はマイページにログインする際に必要なIDです。これまで通り「携帯電話番号」でもログイン可能ですが、「英数字のID」も使用できます。
「ベアーモバイル ID」の確認方法を教えてください（契約中の場合）。,マイページの「アカウント管理」から確認できます。また、マイページのログイン画面にある「IDをお忘れの方」からも確認できます。
「メールで受け取る」を誤ってタップした場合、どうすれば取り消せますか？［ベアーモバイルLite eSIMカンタン設定アプリ］,メールが送信されるだけなので、無視しても問題ありません。「自動音声通話で受け取る」を希望する場合は、そのボタンをタップして認証コードを受け取ってください。
「メールで受け取る」を誤ってタップした後、「自動音声通話で受け取る」をタップして認証コードを受け取っても大丈夫ですか？［ベアーモバイルLite eSIMカンタン設定アプリ］,問題ありません。自動音声通話で受け取った認証コードを入力してください。
「メールで受け取る」を選択したのにメールが届かない場合、どうすればいいですか？［ベアーモバイルLite SIMカンタン設定アプリ］,メールが届かない場合は、迷惑メールフォルダを確認してみてください。それでもメールが見つからない場合は、「自動音声通話で受け取る」を選択し、音声通話で認証コードを受け取ってください。
「レギュラープラン」について詳しく教えてください。,「レギュラープラン」は月額基本料2728円で、データ容量20GBを提供する5G対応のプランです。eSIMにも対応しています。
「使用者の情報」について教えていただけますか？,契約時には、「使用者の情報」を登録します。契約者と利用者が異なる場合、利用者を使用者として登録します。ただし、使用者として登録可能なのは家族のみとなります。
「本人認証サービス（3Dセキュア）」について教えてください。,マイページからクレジットカードで未払い料金を支払う場合、カード発行会社の「本人認証サービス（3Dセキュア）」に事前に登録している必要があります。
「留守番電話サービス」は利用可能ですか？,マイページから「留守電パック」に加入することで、「留守番電話サービス」を利用することができます。
「着信転送サービス」は利用できますか？,「留守電パック」に加入することで利用可能です。
「自動音声通話で受け取る」で聞いた認証コードを忘れてしまったのですが、どうすればいいですか？［ベアーモバイルLite eSIMカンタン設定アプリ］,「メールで受け取る」または「自動音声通話で受け取る」を再度タップして認証コードを再発行してください。同じ認証コードを再入力することができます。ただし、再発行した場合、以前の認証コードは無効になりますのでご注意ください。
「自動音声通話で受け取る」をタップしたのに、電話がかかってこないのですが、どうすればいいですか？［ベアーモバイルLite eSIMカンタン設定アプリ］,電話がかかってこない場合は、「メールで受け取る」をタップして、メールで認証コードを受け取ってください。
