pref_id,pref,name,post_code,address,tel
1,北海道,ベアーモバイル 札幌白い恋人パーク店,064-XXXX,北海道札幌市西区X-X-X,011-XXXX-XXXX
4,宮城,ベアーモバイル 仙台泉ヶ岳店,981-XXXX,宮城県仙台市泉区X-X-X,022-XXXX-XXXX
13,東京,ベアーモバイル 東京スカイツリータウン店,131-XXXX,東京都墨田区X-X-X,03-XXXX-XXXX
14,神奈川,ベアーモバイル 横浜赤レンガ倉庫店,231-XXXX,神奈川県横浜市中区X-X-X,045-XXXX-XXXX
23,名古屋,ベアーモバイル 名古屋栄店,460-XXXX,愛知県名古屋市中区X-X-X,052-XXXX-XXXX
27,大阪,ベアーモバイル 大阪道頓堀店,542-XXXX,大阪府大阪市中央区X-X-X,06-XXXX-XXXX
40,福岡,ベアーモバイル 福岡天神店,810-XXXX,福岡県福岡市中央区X-X-X,092-XXXX-XXXX
1,北海道,ベアーモバイル 札幌すすきの店,064-XXXX,北海道札幌市中央区X-X-X,011-XXXX-XXXX
4,宮城,ベアーモバイル 仙台青葉店,981-XXXX,宮城県仙台市青葉区X-X-X,022-XXXX-XXXX
13,東京,ベアーモバイル 東京渋谷店,131-XXXX,東京都渋谷区X-X-X,03-XXXX-XXXX
14,神奈川,ベアーモバイル 横浜みなとみらい店,231-XXXX,神奈川県横浜市西区X-X-X,045-XXXX-XXXX
23,名古屋,ベアーモバイル 名古屋栄中央店,460-XXXX,愛知県名古屋市中村区X-X-X,052-XXXX-XXXX
27,大阪,ベアーモバイル 大阪梅田店,542-XXXX,大阪府大阪市北区X-X-X,06-XXXX-XXXX
40,福岡,ベアーモバイル 福岡博多店,810-XXXX,福岡県福岡市博多区X-X-X,092-XXXX-XXXX
1,北海道,ベアーモバイル 札幌大通り店,064-XXXX,北海道札幌市中央区X-X-X,011-XXXX-XXXX
4,宮城,ベアーモバイル 仙台国分町店,981-XXXX,宮城県仙台市青葉区X-X-X,022-XXXX-XXXX
13,東京,ベアーモバイル 東京新宿店,131-XXXX,東京都新宿区X-X-X,03-XXXX-XXXX
14,神奈川,ベアーモバイル 横浜関内店,231-XXXX,神奈川県横浜市中区X-X-X,045-XXXX-XXXX
23,名古屋,ベアーモバイル 名古屋金山店,460-XXXX,愛知県名古屋市中区X-X-X,052-XXXX-XXXX
27,大阪,ベアーモバイル 大阪心斎橋店,542-XXXX,大阪府大阪市中央区X-X-X,06-XXXX-XXXX
40,福岡,ベアーモバイル 福岡天神西店,810-XXXX,福岡県福岡市中央区X-X-X,092-XXXX-XXXX
1,北海道,ベアーモバイル 札幌すすきの東店,064-XXXX,北海道札幌市中央区X-X-X,011-XXXX-XXXX
4,宮城,ベアーモバイル 仙台一番町店,981-XXXX,宮城県仙台市青葉区X-X-X,022-XXXX-XXXX
13,東京,ベアーモバイル 東京池袋店,131-XXXX,東京都豊島区X-X-X,03-XXXX-XXXX
14,神奈川,ベアーモバイル 横浜中華街店,231-XXXX,神奈川県横浜市中区X-X-X,045-XXXX-XXXX
23,名古屋,ベアーモバイル 名古屋大曽根店,460-XXXX,愛知県名古屋市中川区X-X-X,052-XXXX-XXXX
27,大阪,ベアーモバイル 大阪天王寺店,542-XXXX,大阪府大阪市天王寺区X-X-X,06-XXXX-XXXX
40,福岡,ベアーモバイル 福岡博多駅前店,810-XXXX,福岡県福岡市博多区X-X-X,092-XXXX-XXXX
1,北海道,ベアーモバイル 札幌大通り西店,064-XXXX,北海道札幌市中央区X-X-X,011-XXXX-XXXX
4,宮城,ベアーモバイル 仙台国分町西店,981-XXXX,宮城県仙台市青葉区X-X-X,022-XXXX-XXXX
13,東京,ベアーモバイル 東京銀座店,131-XXXX,東京都中央区X-X-X,03-XXXX-XXXX
14,神奈川,ベアーモバイル 横浜山下公園店,231-XXXX,神奈川県横浜市中区X-X-X,045-XXXX-XXXX
23,名古屋,ベアーモバイル 名古屋栄南店,460-XXXX,愛知県名古屋市中区X-X-X,052-XXXX-XXXX
27,大阪,ベアーモバイル 大阪難波店,542-XXXX,大阪府大阪市浪速区X-X-X,06-XXXX-XXXX
40,福岡,ベアーモバイル 福岡天神東店,810-XXXX,福岡県福岡市中央区X-X-X,092-XXXX-XXXX
1,北海道,ベアーモバイル 札幌すすきの南店,064-XXXX,北海道札幌市中央区X-X-X,011-XXXX-XXXX
4,宮城,ベアーモバイル 仙台一番町西店,981-XXXX,宮城県仙台市青葉区X-X-X,022-XXXX-XXXX
13,東京,ベアーモバイル 東京新宿西口店,131-XXXX,東京都新宿区X-X-X,03-XXXX-XXXX
14,神奈川,ベアーモバイル 横浜中華街西店,231-XXXX,神奈川県横浜市中区X-X-X,045-XXXX-XXXX
23,名古屋,ベアーモバイル 名古屋大曽根西店,460-XXXX,愛知県名古屋市中川区X-X-X,052-XXXX-XXXX
27,大阪,ベアーモバイル 大阪天王寺南店,542-XXXX,大阪府大阪市天王寺区X-X-X,06-XXXX-XXXX
40,福岡,ベアーモバイル 福岡博多駅前西店,810-XXXX,福岡県福岡市博多区X-X-X,092-XXXX-XXXX
